symbol,exchange,name
TA0,czce,PTA连续
TA2405,czce,PTA2405
TA2409,czce,PTA2409
TA2404,czce,PTA2404
TA2403,czce,PTA2403
TA2406,czce,PTA2406
TA2408,czce,PTA2408
TA2501,czce,PTA2501
TA2407,czce,PTA2407
TA2411,czce,PTA2411
TA2410,czce,PTA连续
TA2412,czce,PTA2412
TA2502,czce,PTA2502
OI0,czce,菜油连续
OI2405,czce,菜油2405
OI2409,czce,菜油2409
OI2407,czce,菜油2407
OI2411,czce,菜油2411
OI2501,czce,菜油2501
OI2403,czce,菜油2403
RS0,czce,菜籽连续
RS2411,czce,菜籽2411
RM0,czce,菜粕连续
RM2405,czce,菜粕2405
RM2409,czce,菜粕2409
RM2407,czce,菜粕2407
RM2411,czce,菜粕2411
RM2501,czce,菜粕2501
RM2408,czce,菜粕2408
RM2403,czce,菜粕2403
ZC2212,czce,动力煤2212
WH0,czce,强麦连续
WH2303,czce,强麦2303
JR0,czce,粳稻连续
JR2301,czce,粳稻2301
SR0,czce,白糖连续
SR2405,czce,白糖2405
SR2409,czce,白糖2409
SR2407,czce,白糖2407
SR2411,czce,白糖2411
SR2501,czce,白糖2501
SR2403,czce,白糖2403
CF0,czce,棉花连续
CF2405,czce,棉花2405
CF2409,czce,棉花2409
CF2407,czce,棉花2407
CF2501,czce,棉花2501
CF2403,czce,棉花2403
CF2411,czce,棉花2411
RI0,czce,早籼稻连续
RI2201,czce,早籼稻2201
MA0,czce,甲醇连续
MA2405,czce,甲醇2405
MA2409,czce,甲醇2409
MA2407,czce,甲醇2407
MA2411,czce,甲醇2411
MA2408,czce,甲醇2408
MA2501,czce,甲醇2501
MA2404,czce,甲醇2404
MA2406,czce,甲醇2406
MA2410,czce,甲醇连续
MA2412,czce,甲醇2412
MA2403,czce,甲醇2403
MA2502,czce,甲醇2502
FG0,czce,玻璃连续
FG2405,czce,玻璃2405
FG2409,czce,玻璃2409
FG2501,czce,玻璃2501
FG2408,czce,玻璃2408
FG2404,czce,玻璃2404
FG2406,czce,玻璃2406
FG2407,czce,玻璃2407
FG2403,czce,玻璃2403
FG2411,czce,玻璃2411
FG2412,czce,玻璃2412
FG2410,czce,玻璃连续
FG2502,czce,玻璃2502
LR2011,czce,晚籼稻2011
LR0,czce,晚籼稻连续
SF0,czce,硅铁连续
SF2405,czce,硅铁2405
SF2406,czce,硅铁2406
SF2404,czce,硅铁2404
SF2403,czce,硅铁2403
SF2409,czce,硅铁2409
SF2407,czce,硅铁2407
SF2410,czce,硅铁连续
SF2408,czce,硅铁2408
SF2411,czce,硅铁2411
SF2501,czce,硅铁2501
SF2412,czce,硅铁2412
SF2502,czce,硅铁2502
SM0,czce,锰硅连续
SM2405,czce,锰硅2405
SM2409,czce,锰硅2409
SM2404,czce,锰硅2404
SM2403,czce,锰硅2403
SM2406,czce,锰硅2406
SM2407,czce,锰硅2407
SM2410,czce,锰硅连续
SM2408,czce,锰硅2408
SM2411,czce,锰硅2411
